"id","certificateid","courseid","coursename","cpath","startdate","enddate","duration","flag","certificatetype","createdate"
"82","ISS- R-PRG--01-2024-","R Programming- Jan 2024","Beginning Statistical Analysis with R","ba3e3.jpg","19/01/2024","21/01/2024","3 Days","0","landscape","2024-01-21 10:41:23"
"83","ISS- WB--01-2024-","MYSQL WORKBENCH- Jan 2024","UNLOCKING DATA CAPACITY WITH MYSQL WORKBENCH","9a2c3.jpg","24/01/2024","26/01/2024","3 Days","0","landscape","2024-01-26 05:21:59"
"84","ISS- CE-FDP--01-2024-","CRAFTING EXCELLENCE","CRAFTING EXCELLENCE: INTEGRATING RESEARCH METHODOLOGY AND PERSONALITY ENRICHMENT IN FACULTY GROWTH AND INNOVATION","ad6fc.jpg","22/01/2024","28/01/2024","7 Days","0","landscape","2024-01-28 10:53:42"
"85"," ISS- SF--02-2024-","SALES FORCE TABLEAU -Jan 2024 ","VISUALIZATION MAVERICK: SALES FORCE TABLEAU","a4b34.jpg","31/01/2024","02/02/2024","3 Days","0","landscape","2024-02-02 08:55:18"
"86","ISS-CG-02-2024-","Career Guidance Feb 2024","CAREER GUIDANCE PROGRAM","99ec4.jpg","04/02/2024","04/02/2024","1 Day","0","landscape","2024-02-04 02:33:34"
"87","ISS- B47-MMY-01-2024-","Machine Learning Mastery-Jan2024","Machine Learning Mastery","a76d0.jpg","24/01/2024","06/02/2024","2 Weeks","0","landscape","2024-02-06 14:12:46"
"88","ISS- -STA-FDP--01-2024-","SALESFORCE TABLEAU & CHATGPT & AI TOOLS Feb 2024","UTILIZING CAPACITIES: SALESFORCE TABLEAU & CHATGPT & AI TOOLS","bf215.jpg","31/01/2024","07/02/2024","7 Days","0","landscape","2024-02-07 12:43:55"
"89","ISS- AT--02-2024-","Embracing Efficiency: Chatgpt & Ai Tools-Feb2024","EMBRACING EFFICIENCY: CHATGPT & AI TOOLS","95250.jpg","05/02/2024","07/02/2024","3 Days","0","landscape","2024-02-07 12:49:57"
"90","ISS- DQ- 02--2024-","DATA QUADRANT-Jan-Feb2024","DATA QUADRANT: POWER BI, SQL, TABLEAU, R PROGRAMMING, CHATGPT & AI TOOLS","526fe.jpg","10/01/2024","09/02/2024","1 month","0","landscape","2024-02-07 13:02:57"
"91","ISS- JOA- 02--2024-","JACK OF ALL TRADES01-Dec-Feb2024","JACK OF ALL TRADES - ULTIMATE UPSKILLING","7b6a0.jpg","19/12/2023","19/02/2024","2 Months","0","landscape","2024-02-07 13:11:11"
"92","ISS- B27- EM-02-2024-","ENGLISH MADE EASY & EMPLOYABILITY SKILLS-Feb2024","ENGLISH MADE EASY & EMPLOYABILITY SKILLS ","d3650.jpg","29/01/2024","09/02/2024","2 Weeks","0","landscape","2024-02-09 12:09:07"
"93","ISS- ES--02-2024-","IOT-Feb2024","DESIGN OF IOT BASED APPLICATION USING ESP32","2bdc3.jpg","10/02/2024","12/02/2024","3 Days","0","landscape","2024-02-10 11:01:44"
